year	POP	BBR	BMR	MRO	PRF	HSCON
2006	NA	NA	NA	NA	NA	418154
2007	NA	NA	NA	NA	NA	540149
2008	NA	NA	NA	NA	NA	569310
2009	830953	NA	NA	NA	7804621	579500
2010	827193	10	15.3	NA	14913963	664195
2011	837436	10.1	13.6	NA	15768176	697881
2012	836892	10.8	13.5	NA	19841909	726683
2013	839755	NA	NA	247263	18055380	736345
2014	840785	13.4	11.2	245197	15446691	914248
2015	842097	12.3	13.7	242037	16387199	702842
2016	843460	11.8	13.3	233625	24652377	927986
2017	845300	10.3	13.3	228330	NA	755207
2018	844858	9.8	13.3	226086	NA	NA
